Species,Tank (replicate #),Treatment,Fiber concentration,Animal ID #,CHO mj/mg,LiP mj/mg,PRT mj/mg,Ea mj/mg,Ec mj/mg ,CEA mj/mg/min,Shell width (mm),,,Treatment a,Fiber concentration a,Initial no.s ,End of expt. mortality ,,Treatment b,Fiber concentration b,Time,Algal cell concentration
Cv,13,[Fiber 2] + PCB,10,109,89,411,906.6,1406.6,9.02,155.9423503,49.8,,,,,,,,,,,
Cv,14,[Fiber 2] + PCB,10,120,75.6,407,724.2,1206.8,7.22,167.1468144,49.6,,,,,,,,,,,
Cv,14,[Fiber 2] + PCB,10,278,85,582,865.5,1532.5,3.014,508.4605176,48.2,,,,,,,,,,,
Cv,15,[Fiber 2] + PCB,10,296,55.3,403,425,883.3,6.291,140.4069305,47.5,,,,,,,,,,,
Cv,15,[Fiber 2] + PCB,10,310,65,407.9,735,1207.9,8.769,137.7466074,49.2,,,,,,,,,,,
Cv,16,[Fiber 2] + PCB,10,364,88,544,836,1468,7.88,186.2944162,48.6,,,,,,,,,,,
Cv,16,[Fiber 2] + PCB,10,541,54,352,496,902,7.06,127.7620397,50.2,,,,,,,,,,,
Cv,17,Control,0,,98,508,745,1351,8.563,157.7718089,55.3,,,,,,,,,,,
Cv,17,Control,0,,139,846.2,1065,2050.2,4.693,436.8634136,52.9,,,,,,,,,,,
Cv,18,Control,0,,109.3,834.4,963,1906.7,5.6844,335.4267821,55.6,,,,,,,,,,,
Cv,18,Control,0,,128,694,874.3,1696.3,7.3652,230.3128225,53.8,,,,,,,,,,,
Cv,19,Control,0,,116.95,669,906,1691.95,5.365,315.3681267,54.1,,,,,,,,,,,
Cv,19,Control,0,,102,559,803,1464,8.629,169.6604473,53.6,,,,,,,,,,,
Cv,20,Control,0,,96,535,749.2,1380.2,7.625,181.0098361,55.8,,,,,,,,,,,
Cv,20,Control,0,,130,649,1105.5,1884.5,5.364,351.3236391,56.1,,,,,,,,,,,
